image,method,tp,fp,fn,tn,iou,dice,precision,recall,specificity,accuracy
11215-10,Adaptive,4232,21969,69,39266,0.1610963075783742,0.27749000065806345,0.16152055265386236,0.9839572192517099,0.6412345880629685,0.6637268066411381
11215-10,Canny,2753,35686,1548,25549,0.06884737539933267,0.12882545624911365,0.07161996930442617,0.6400837014731439,0.4172287090725611,0.4318542480477419
11215-10,Blackhat,4237,11410,64,49825,0.2696836611337936,0.42480449168124723,0.2707867322856088,0.9851197395957889,0.8136686535481119,0.8249206542971421
11215-10,UNet_no_TAFE,4098,1672,203,59563,0.6860873932749693,0.8138218647620512,0.7102253032979163,0.9528016740303928,0.9726953539642808,0.9713897705078561
11215-10,TAFE_channel,3193,226,1108,61009,0.7053236138788309,0.8272020725410985,0.9338988008208863,0.7423854917520952,0.9963093002367988,0.9796447753906561
11215-10,TAFE_spatial,3841,592,460,60643,0.7849989781364194,0.8795511793006691,0.8664561245236532,0.8930481283447327,0.9903323262840037,0.9839477539062745
11215-10,TAFE_full,3195,196,1106,61039,0.7104736491058378,0.8307332293313737,0.9421999410220525,0.7428504998897267,0.9967992161345688,0.9801330566406553
11215-11,Otsu,6128,9480,79,49849,0.39064193281449194,0.5618152647281145,0.39261916966047783,0.9872724343485215,0.8402130492679125,0.8541412353517851
11215-11,Adaptive,5941,20219,266,39110,0.22481646863231355,0.36710229554989005,0.22710244648613492,0.9571451586924901,0.6592054475894432,0.6874237060551645
11215-11,Canny,3855,34666,2352,24663,0.09431654148436787,0.1723752459328108,0.10007528361387275,0.6210729821230695,0.4156988993588031,0.4351501464852369
11215-11,Blackhat,5458,7489,749,51840,0.3985105140230833,0.5699070690217715,0.421564841280439,0.8793297889499061,0.8737716799543667,0.8742980957033168
11215-11,UNet_no_TAFE,6050,2765,157,56564,0.674320107003184,0.8054852882452038,0.6863301191187029,0.974705977123011,0.9533954727031412,0.9554138183594431
11215-11,TAFE_channel,4601,349,1606,58980,0.7017998779789231,0.8247736846838328,0.9294949494963738,0.7412598678952592,0.9941175479108124,0.970169067382858
11215-11,TAFE_spatial,5748,913,459,58416,0.8073033707892233,0.8933789244646148,0.8629334934715068,0.92605123248065,0.984611235652068,0.979064941406282
11215-11,TAFE_full,4489,296,1718,59033,0.6902967861034861,0.8167758369740105,0.9381400208999344,0.723215724186834,0.9950108715805172,0.9692687988281719
11215-12,Otsu,6074,13618,130,45714,0.3064272021021772,0.4691071980249108,0.3084501320368248,0.9790457769184551,0.7704779882697862,0.7902221679690701
11215-12,Adaptive,5681,21129,523,38203,0.20784399810043594,0.3441570242947109,0.21189854532185043,0.9156995486796309,0.6438852558490462,0.6696166992192542
11215-12,Canny,3609,29319,2595,30013,0.1015961489764333,0.1844526218972083,0.10960276968200436,0.5817214700260844,0.505848446033328,0.5130310058601181
11215-12,Blackhat,5086,7200,1118,52132,0.37943897344539357,0.5501352082230928,0.41396711704855954,0.8197936814987138,0.8786489584037641,0.8730773925783186
11215-12,UNet_no_TAFE,5993,1475,211,57857,0.7804401614822185,0.8766822703344304,0.802490626676453,0.9659896840753387,0.9751398907841045,0.9742736816406643
11215-12,TAFE_channel,5124,321,1080,59011,0.7852873563251297,0.8797321658521785,0.9410468319570056,0.8259187620917808,0.9945897660621679,0.9786224365234701
11215-12,TAFE_spatial,5697,521,507,58811,0.8471375464706745,0.9172436000650681,0.9162110003229944,0.9182785299819749,0.9912189037956057,0.984313964843774
11215-12,TAFE_full,4827,160,1377,59172,0.758485229419257,0.8626574926292319,0.9679165831167452,0.7780464216670205,0.9973033101867503,0.9765472412109732
11215-13,Otsu,6412,14911,194,44019,0.29799693266116095,0.45916430950102344,0.300708155516106,0.9706327580991427,0.7469709825220652,0.7695159912112892
11215-13,Adaptive,6125,20989,481,37941,0.2219605000934156,0.36328588375040544,0.2258980600456373,0.9271874053901424,0.6438316646875211,0.6723937988286249
11215-13,Canny,3931,34924,2675,24006,0.09465446665279399,0.1729394426009702,0.10117102046300046,0.5950650923464265,0.40736466994840087,0.4262847900399379
11215-13,Blackhat,5529,7705,1077,51225,0.38634616728819543,0.557358870969973,0.4177875170060617,0.8369663941895706,0.8692516545055672,0.8659973144533295
11215-13,UNet_no_TAFE,6422,2610,184,56320,0.6968315972255117,0.8213326512353157,0.7110274579305688,0.972146533454857,0.9557101646021454,0.9573669433594401
11215-13,TAFE_channel,3390,104,3216,58826,0.5052160953874036,0.6712871287161258,0.9702346880374861,0.5131698456022832,0.9982351942983231,0.9493408203125773
11215-13,TAFE_spatial,6175,912,431,58018,0.8213620643812003,0.901920689404061,0.8713136729240678,0.934756282168714,0.9845240115391405,0.9795074462890938
11215-13,TAFE_full,4145,132,2461,58798,0.6151677055563198,0.7617384912270354,0.969137245733712,0.6274598849587124,0.9977600543017177,0.9604339599609979
11215-14,Otsu,7736,5799,196,51805,0.5633966936161722,0.720734150092138,0.5715552271919353,0.9752899647002611,0.8993299076454772,0.908523559570452
11215-14,Adaptive,7485,18397,447,39207,0.284287287784252,0.4427160347801422,0.2891971254180929,0.9436459909235546,0.6806298173743479,0.7124633789066888
11215-14,Canny,4572,26761,3360,30843,0.13178450984598683,0.23287915446521618,0.14591644592236327,0.5763993948616187,0.5354315672530806,0.5403900146491388
11215-14,Blackhat,6635,5112,1297,52492,0.5086629868176274,0.6743228822619324,0.56482506172159,0.8364851235522379,0.9112561627666286,0.9022064208985867
11215-14,UNet_no_TAFE,7651,3049,281,54555,0.6967489299727097,0.8212752254195939,0.7150467289746256,0.9645738779631294,0.9470696479412071,0.9491882324219525
11215-14,TAFE_channel,5091,332,2841,57272,0.6160454985525647,0.7624110819935425,0.9387792734660008,0.641830559762458,0.9942365113533882,0.9515838623047613
11215-14,TAFE_spatial,7267,1148,665,56456,0.8003303964779699,0.8890927999028012,0.8635769459315082,0.9161623802330288,0.980070828414728,0.9723358154297297
11215-14,TAFE_full,5367,286,2565,57318,0.6530786079380253,0.7901361796114087,0.9494073943048044,0.6766263237559679,0.995035067009244,0.9564971923828789
11215-15,Otsu,5153,12252,46,48085,0.2952839378872541,0.45593700230288475,0.29606434932895104,0.9911521446433708,0.7969405174274542,0.8123474121096613
11215-15,Adaptive,4934,21290,265,39047,0.18626599720945952,0.31403748846604707,0.18814826113793415,0.9490286593585492,0.647148515836639,0.6710968017583143
11215-15,Canny,3271,34629,1928,25708,0.08212815105181749,0.15179006473664866,0.08630606860399391,0.629159453748237,0.42607355354189624,0.44218444824303865
11215-15,Blackhat,4909,10800,290,49537,0.30683167698414376,0.46958102162105614,0.31249602139338917,0.9442200423169028,0.8210053532661202,0.8307800292971332
11215-15,UNet_no_TAFE,4980,2030,219,58307,0.6888919629314028,0.8157916291275633,0.7104136947259571,0.9578765147151783,0.9663556358453911,0.9656829833984899
11215-15,TAFE_channel,3498,238,1701,60099,0.6433695052484206,0.7829882484635367,0.9362955032136966,0.6728216964863855,0.9960554883404942,0.9704132080078577
11215-15,TAFE_spatial,4706,801,493,59536,0.7843333333369278,0.8791331963396307,0.8545487561312048,0.9051740719387349,0.9867245637005706,0.9802551269531551
11215-15,TAFE_full,3656,239,1543,60098,0.6723059948570742,0.8040466241499444,0.9386392811312287,0.7032121561895901,0.9960389147620928,0.9728088378906665
11215-2,Otsu,7340,9273,117,48806,0.4387328153052078,0.6098878271723728,0.44182266899752104,0.9843100442539318,0.840338160092563,0.8567199707033436
11215-2,Adaptive,7109,19563,348,38516,0.2631014063683823,0.4165958568976044,0.26653419316411764,0.9533324393193867,0.6631656881150447,0.6961822509770261
11215-2,Canny,4126,34300,3331,23779,0.09880978039825943,0.17984874572460421,0.10737521470070427,0.553305618887578,0.4094250934082725,0.4257965087899387
11215-2,Blackhat,6847,7765,610,50314,0.44980948627348694,0.6205084054573361,0.46858746236334115,0.9181976666230629,0.8663027944698319,0.8722076416017575
11215-2,UNet_no_TAFE,7146,1987,311,56092,0.7566709021626781,0.8614828209773268,0.782437315232865,0.9582942201963485,0.965787978443214,0.9649353027344285
11215-2,TAFE_channel,4527,194,2930,57885,0.5916873611346009,0.7434718344576822,0.9589070112273055,0.6070805954189744,0.9966597221026591,0.9523315429688227
11215-2,TAFE_spatial,6795,865,662,57214,0.816510454219941,0.8989878944241649,0.88707571801714,0.9112243529581437,0.9851064928804127,0.976699829101598
11215-2,TAFE_full,4475,148,2982,57931,0.5884286653571541,0.7408940397372443,0.967986156176336,0.6001072817540551,0.9974517467587296,0.9522399902344478
11215-3,Otsu,5388,9667,79,50402,0.356019558614008,0.5250950199808737,0.35788774493950254,0.985549661606264,0.8390684046682331,0.8512878417971019
11215-3,Adaptive,5203,20803,264,39266,0.19805862200533667,0.33063260572766934,0.20006921479966133,0.9517102615702998,0.6536815994944919,0.678543090820803
11215-3,Canny,3283,29037,2184,31032,0.09514838859524939,0.1737634636272428,0.10157797029980947,0.6005121638997528,0.5166059032121118,0.5236053466804145
11215-3,Blackhat,5093,7735,374,52334,0.3857748825981989,0.5567641432109497,0.3970221390754831,0.9315895372245914,0.8712314172037636,0.8762664794923763
11215-3,UNet_no_TAFE,5360,1415,107,58654,0.7788433594917343,0.8756739094929287,0.7911439114421971,0.9804280226819018,0.9764437563469069,0.9767761230469104
11215-3,TAFE_channel,4334,269,1133,59800,0.7555788005621412,0.8607745779557023,0.9415598522715282,0.7927565392392033,0.9955218165776099,0.9786071777344076
11215-3,TAFE_spatial,5094,618,373,59451,0.8371405094521424,0.9113516414714076,0.8918067226909697,0.9317724529004614,0.9897118313939142,0.9848785400390856
11215-3,TAFE_full,4018,178,1449,59891,0.7117803365861509,0.8316257890941567,0.9575786463308489,0.7349551856642591,0.997036741081095,0.9751739501953504
11215-4,Otsu,3204,20840,14,41478,0.1331781528010093,0.23505245396803223,0.1332556978908116,0.9956494717217014,0.6655861869770121,0.6817932128911105
11215-4,Adaptive,3143,23888,75,38430,0.11595218771078007,0.20780852259840718,0.11627390773883217,0.9766935985091145,0.6166757598131893,0.6343536376958704
11215-4,Canny,1483,39584,1735,22734,0.0346479136511503,0.06697527379684548,0.036111719874750745,0.4608452455108501,0.36480631599318847,0.36952209472752456
11215-4,Blackhat,3163,13742,55,48576,0.18649764151423054,0.3143666451358427,0.18710440698499198,0.982908638906684,0.7794858628329223,0.7894744873050087
11215-4,UNet_no_TAFE,3066,734,152,61584,0.7758097166048631,0.8737532060434062,0.806842105268241,0.9527656929784721,0.9882217015950636,0.9864807128906457
11215-4,TAFE_channel,2461,112,757,62206,0.7390390390468757,0.8499395613909525,0.9564710454739032,0.7647607209519962,0.9982027664559225,0.9867401123047077
11215-4,TAFE_spatial,2848,275,370,62043,0.8153449756709034,0.8982810282305901,0.9119436439349362,0.8850217526449652,0.9955871497801669,0.9901580810547025
11215-4,TAFE_full,2166,72,1052,62246,0.6583586626243659,0.7939882697984972,0.9678284182320005,0.6730888750878469,0.9988446355788073,0.9828491210937762
11215-5,Otsu,9183,4476,238,51639,0.6607900985848688,0.7957538994809543,0.6723039754032337,0.9747372890354025,0.9202352312217407,0.9280700683594848
11215-5,Adaptive,8714,17157,707,38958,0.32786515163169594,0.4938229627125303,0.3368250164302237,0.9249548880169307,0.6942528735637633,0.7274169921879159
11215-5,Canny,4996,22902,4425,33213,0.15456486093755353,0.26774565235063175,0.17908093770456993,0.5303046385783854,0.5918738305273245,0.5830230712896988
11215-5,Blackhat,8204,4458,1217,51657,0.5911088695180409,0.7430149889066566,0.6479229189729275,0.8708205073785074,0.9205560010693744,0.9134063720704446
11215-5,UNet_no_TAFE,8961,1847,460,54268,0.7952609158697617,0.8859558060216226,0.8291080680992866,0.9511729115810299,0.9670854495233591,0.9647979736328662
11215-5,TAFE_channel,7403,343,2018,55772,0.7581933633781421,0.862468689929152,0.9557190808164766,0.7857976860228659,0.993887552347868,0.9639739990234925
